incident_id,crime_type,Description,location_type,Latitude,Longitude,date_time,is_severe,region_code,is_domestic
10342825,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,15.0,True
11033112,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,61.0,True
7296936,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,27.0,True
7296951,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,12.1348,15.0557,2010-01-01 00:00:00,0,48.0,False
7297081,BURGLARY,UNLAWFUL ENTRY,RESIDENCE PORCH/HALLWAY,12.1348,15.0557,2010-01-01 00:00:00,0,37.0,False
7297177,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),12.1348,15.0557,2010-01-01 00:00:00,0,53.0,False
7297223,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,61.0,False
7297297,THEFT,$500 AND UNDER,STREET,12.1348,15.0557,2010-01-01 00:00:00,0,1.0,False
7297322,THEFT,$500 AND UNDER,STREET,12.1348,15.0557,2010-01-01 00:00:00,0,66.0,False
7297428,CRIMINAL DAMAGE,TO VEHICLE,STREET,12.1348,15.0557,2010-01-01 00:00:00,0,31.0,False
7297998,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,73.0,False
7299558,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,12.1348,15.0557,2010-01-01 00:00:00,0,5.0,False
7300381,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,73.0,False
7301084,THEFT,FROM BUILDING,APARTMENT,12.1348,15.0557,2010-01-01 00:00:00,0,29.0,False
7305953,THEFT,FINANCIAL ID THEFT: OVER $300,VEHICLE-COMMERCIAL,12.1348,15.0557,2010-01-01 00:00:00,0,67.0,False
7334488,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,77.0,False
7341753,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,2.0,True
7346908,BURGLARY,FORCIBLE ENTRY,VACANT LOT/LAND,12.1348,15.0557,2010-01-01 00:00:00,0,43.0,False
7349288,THEFT,ATTEMPT FINANCIAL IDENTITY THEFT,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,46.0,False
7349837,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,46.0,False
7352414,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,43.0,False
7361941,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,25.0,False
7365565,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,12.1348,15.0557,2010-01-01 00:00:00,0,23.0,False
7370185,THEFT,FROM BUILDING,OTHER,12.1348,15.0557,2010-01-01 00:00:00,0,1.0,False
7370834,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,1,67.0,False
7373613,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,12.1348,15.0557,2010-01-01 00:00:00,0,23.0,False
7384503,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,APARTMENT,12.1348,15.0557,2010-01-01 00:00:00,0,27.0,False
7388979,OTHER OFFENSE,HARASSMENT BY TELEPHONE,COMMERCIAL / BUSINESS OFFICE,12.1348,15.0557,2010-01-01 00:00:00,0,32.0,False
7390822,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,29.0,False
7395301,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,71.0,False
7418717,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,73.0,False
7431234,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,5.0,False
7433236,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,2.0,False
7434175,THEFT,$500 AND UNDER,STREET,12.1348,15.0557,2010-01-01 00:00:00,0,66.0,False
7442335,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,23.0,False
7307988,BURGLARY,FORCIBLE ENTRY,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,68.0,False
7311629,THEFT,FROM BUILDING,RESIDENCE-GARAGE,12.1348,15.0557,2010-01-01 00:00:00,0,63.0,False
7313298,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,12.1348,15.0557,2010-01-01 00:00:00,0,65.0,False
7314331,THEFT,OVER $500,STREET,12.1348,15.0557,2010-01-01 00:00:00,0,24.0,False
7318035,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,12.1348,15.0557,2010-01-01 00:00:00,0,11.0,False
7318918,BURGLARY,FORCIBLE ENTRY,APARTMENT,12.1348,15.0557,2010-01-01 00:00:00,0,27.0,False
7319928,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,STREET,12.1348,15.0557,2010-01-01 00:00:00,0,45.0,False
7325150,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,12.1348,15.0557,2010-01-01 00:00:00,0,24.0,False
7329644,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,69.0,False
7489954,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,APARTMENT,12.1348,15.0557,2010-01-01 00:00:00,1,45.0,True
7506901,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,69.0,False
7531528,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,23.0,False
7545363,THEFT,FINANCIAL ID THEFT: OVER $300,OTHER,12.1348,15.0557,2010-01-01 00:00:00,0,19.0,False
7601921,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,4.0,False
7624313,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,53.0,False
7474408,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,12.1348,15.0557,2010-01-01 00:00:00,0,66.0,True
