incident_id,crime_type,Description,location_type,Latitude,Longitude,date_time,is_severe,region_code,is_domestic,has_suspect,suspect_id
10342825,DOMESTIC VIOLENCE,THEFT FROM HOUSE,Residential House,-1.118559,29.741438,2010-01-01 00:00:00,0,111,True,True,SUSP-00001
11033112,DOMESTIC VIOLENCE,ASSAULT WITH WEAPON,School,-1.75956,29.482157,2010-01-01 00:00:00,0,105,True,False,
7296936,BURGLARY,UNLAWFUL ENTRY,Residential House,-1.643483,29.072097,2010-01-01 00:00:00,0,105,True,False,
7296951,FRAUD,GBV REPORTED,Residential House,-1.611805,29.773777,2010-01-01 00:00:00,0,110,False,True,SUSP-00002
7297081,CHILD ABUSE,UNLAWFUL ENTRY,School,-2.346938,30.35028,2010-01-01 00:00:00,0,113,False,True,SUSP-00003
7297177,PROPERTY DAMAGE,ASSAULT WITH WEAPON,Health Center,-1.429295,29.697302,2010-01-01 00:00:00,0,118,False,True,SUSP-00004
7297223,PROPERTY DAMAGE,THEFT FROM HOUSE,Health Center,-2.138759,29.998169,2010-01-01 00:00:00,0,127,False,True,SUSP-00005
7297297,ASSAULT,UNLAWFUL ENTRY,School,-1.723353,29.587601,2010-01-01 00:00:00,0,120,False,False,
7297322,PROPERTY DAMAGE,DOMESTIC VIOLENCE INCIDENT,Residential House,-1.236971,30.384097,2010-01-01 00:00:00,0,117,False,True,SUSP-00006
7297428,CHILD ABUSE,THEFT FROM HOUSE,Residential House,-1.081948,29.371301,2010-01-01 00:00:00,0,109,False,False,
7297998,DOMESTIC VIOLENCE,ASSAULT WITH WEAPON,School,-1.156676,29.518905,2010-01-01 00:00:00,0,117,False,True,SUSP-00007
7299558,DOMESTIC VIOLENCE,DOMESTIC VIOLENCE INCIDENT,Farm Area,-1.325081,29.801998,2010-01-01 00:00:00,0,125,False,False,
7300381,CHILD ABUSE,FRAUD IN COOPERATIVE,District Office,-1.720296,30.030219,2010-01-01 00:00:00,0,124,False,False,
7301084,BURGLARY,UNLAWFUL ENTRY,Farm Area,-1.202154,30.152991,2010-01-01 00:00:00,0,116,False,True,SUSP-00008
7305953,GENDER BASED VIOLENCE,UNLAWFUL ENTRY,Farm Area,-1.39385,29.606096,2010-01-01 00:00:00,0,106,False,True,SUSP-00009
7334488,DOMESTIC VIOLENCE,UNLAWFUL ENTRY,Bus Park,-1.834219,29.528215,2010-01-01 00:00:00,0,115,False,True,SUSP-00010
7341753,THEFT,PROPERTY DAMAGED IN MARKET,Main Road,-1.970155,29.387508,2010-01-01 00:00:00,0,105,True,True,SUSP-00011
7346908,MOTORCYCLE THEFT,BODILY HARM IN FAMILY,Health Center,-1.644587,30.03455,2010-01-01 00:00:00,0,115,False,True,SUSP-00012
7349288,THEFT,UNLAWFUL ENTRY,Residential House,-1.459974,30.274086,2010-01-01 00:00:00,0,126,False,True,SUSP-00013
7349837,DOMESTIC VIOLENCE,GBV REPORTED,Bus Park,-1.418491,30.247298,2010-01-01 00:00:00,0,110,False,True,SUSP-00014
7352414,FRAUD,BODILY HARM IN FAMILY,Main Road,-1.029006,29.294412,2010-01-01 00:00:00,0,109,False,True,SUSP-00015
7361941,BURGLARY,DOMESTIC VIOLENCE INCIDENT,School,-1.635843,30.335574,2010-01-01 00:00:00,0,108,False,True,SUSP-00016
7365565,DOMESTIC VIOLENCE,VEHICLE STOLEN FROM ROAD,Farm Area,-2.499425,30.471336,2010-01-01 00:00:00,0,126,False,True,SUSP-00017
7370185,ASSAULT,BODILY HARM IN FAMILY,Bus Park,-1.087253,30.1333,2010-01-01 00:00:00,0,121,False,True,SUSP-00018
7370834,PROPERTY DAMAGE,THEFT FROM HOUSE,Residential House,-2.22678,30.003157,2010-01-01 00:00:00,1,121,False,True,SUSP-00019
7373613,GENDER BASED VIOLENCE,PROPERTY DAMAGED IN MARKET,Public Market,-1.613946,29.953762,2010-01-01 00:00:00,0,127,False,False,
7384503,BURGLARY,BODILY HARM IN FAMILY,School,-1.810851,30.109285,2010-01-01 00:00:00,0,126,False,True,SUSP-00020
7388979,GENDER BASED VIOLENCE,BODILY HARM IN FAMILY,Residential House,-2.393878,29.247943,2010-01-01 00:00:00,0,108,False,True,SUSP-00021
7390822,DOMESTIC VIOLENCE,DOMESTIC VIOLENCE INCIDENT,Bus Park,-2.460237,29.625608,2010-01-01 00:00:00,0,113,False,True,SUSP-00022
7395301,MURDER,UNLAWFUL ENTRY,Bus Park,-2.333426,29.841482,2010-01-01 00:00:00,0,108,False,True,SUSP-00023
7418717,MOTORCYCLE THEFT,PROPERTY DAMAGED IN MARKET,Bus Park,-1.617857,29.346108,2010-01-01 00:00:00,0,116,False,True,SUSP-00024
7431234,BURGLARY,ASSAULT WITH WEAPON,Bus Park,-1.176027,29.708331,2010-01-01 00:00:00,0,122,False,True,SUSP-00025
7433236,ASSAULT,DOMESTIC VIOLENCE INCIDENT,Village Road,-2.184866,29.321516,2010-01-01 00:00:00,0,108,False,True,SUSP-00026
7434175,FRAUD,PROPERTY DAMAGED IN MARKET,Residential House,-1.574056,30.284129,2010-01-01 00:00:00,0,122,False,False,
7442335,DOMESTIC VIOLENCE,UNLAWFUL ENTRY,Farm Area,-1.469935,29.124795,2010-01-01 00:00:00,0,104,False,False,
7307988,MOTORCYCLE THEFT,FRAUD IN COOPERATIVE,School,-1.445339,30.036351,2010-01-01 00:00:00,0,113,False,False,
7311629,ASSAULT,FRAUD IN COOPERATIVE,District Office,-1.243527,29.074492,2010-01-01 00:00:00,0,113,False,True,SUSP-00027
7313298,FRAUD,GBV REPORTED,School,-1.580466,29.949527,2010-01-01 00:00:00,0,118,False,True,SUSP-00028
7314331,ASSAULT,PROPERTY DAMAGED IN MARKET,Health Center,-1.353373,30.401122,2010-01-01 00:00:00,0,103,False,True,SUSP-00029
7318035,FRAUD,FRAUD IN COOPERATIVE,Residential House,-1.993347,29.627555,2010-01-01 00:00:00,0,127,False,True,SUSP-00030
7318918,PROPERTY DAMAGE,FRAUD IN COOPERATIVE,District Office,-1.293897,29.318168,2010-01-01 00:00:00,0,129,False,True,SUSP-00031
7319928,FRAUD,PROPERTY DAMAGED IN MARKET,Bar/Restaurant,-2.283586,29.890169,2010-01-01 00:00:00,0,104,False,True,SUSP-00032
7325150,GENDER BASED VIOLENCE,BODILY HARM IN FAMILY,School,-1.458054,30.115382,2010-01-01 00:00:00,0,110,False,True,SUSP-00033
7329644,GENDER BASED VIOLENCE,BODILY HARM IN FAMILY,Health Center,-1.385336,29.047512,2010-01-01 00:00:00,0,120,False,False,
7489954,MOTORCYCLE THEFT,DOMESTIC VIOLENCE INCIDENT,Public Market,-1.187976,29.66987,2010-01-01 00:00:00,1,125,True,True,SUSP-00034
7506901,FRAUD,CHILD NEGLECT CASE,Residential House,-2.091649,30.222625,2010-01-01 00:00:00,0,127,False,True,SUSP-00035
7531528,ASSAULT,UNLAWFUL ENTRY,Public Market,-1.350351,29.206068,2010-01-01 00:00:00,0,129,False,True,SUSP-00036
7545363,FRAUD,THEFT FROM HOUSE,Main Road,-2.44461,29.233545,2010-01-01 00:00:00,0,126,False,True,SUSP-00037
7601921,CHILD ABUSE,CHILD NEGLECT CASE,School,-1.31935,29.570901,2010-01-01 00:00:00,0,119,False,True,SUSP-00038
7624313,FRAUD,PROPERTY DAMAGED IN MARKET,Farm Area,-1.798459,30.487124,2010-01-01 00:00:00,0,113,False,True,SUSP-00039
7474408,MOTORCYCLE THEFT,DOMESTIC VIOLENCE INCIDENT,Village Road,-1.555609,29.253489,2010-01-01 00:00:00,0,101,True,False,
7785776,MURDER,GBV REPORTED,Bus Park,-1.392298,29.22591,2010-01-01 00:00:00,1,127,True,False,
7788266,CHILD ABUSE,VEHICLE STOLEN FROM ROAD,Bus Park,-2.127604,29.719732,2010-01-01 00:00:00,0,106,False,False,
7653183,GENDER BASED VIOLENCE,BODILY HARM IN FAMILY,Farm Area,-1.38401,29.654414,2010-01-01 00:00:00,0,114,True,False,
7690569,MOTORCYCLE THEFT,CHILD NEGLECT CASE,Main Road,-2.465797,30.492122,2010-01-01 00:00:00,0,114,False,True,SUSP-00040
7692520,ASSAULT,DOMESTIC VIOLENCE INCIDENT,School,-1.763113,30.384439,2010-01-01 00:00:00,0,117,True,False,
7706322,ASSAULT,PROPERTY DAMAGED IN MARKET,District Office,-1.295356,29.800808,2010-01-01 00:00:00,0,101,False,True,SUSP-00041
7711129,CHILD ABUSE,PROPERTY DAMAGED IN MARKET,Main Road,-1.215987,30.030608,2010-01-01 00:00:00,0,107,False,True,SUSP-00042
7872180,CHILD ABUSE,THEFT FROM HOUSE,Village Road,-2.379432,29.289514,2010-01-01 00:00:00,0,112,False,True,SUSP-00043
7913683,BURGLARY,FRAUD IN COOPERATIVE,Health Center,-1.234766,30.416842,2010-01-01 00:00:00,1,125,False,True,SUSP-00044
7947552,BURGLARY,DOMESTIC VIOLENCE INCIDENT,Bar/Restaurant,-2.071313,29.556189,2010-01-01 00:00:00,0,115,False,True,SUSP-00045
7824973,THEFT,VEHICLE STOLEN FROM ROAD,Bar/Restaurant,-1.60285,30.491555,2010-01-01 00:00:00,0,105,True,True,SUSP-00046
7826909,MURDER,DOMESTIC VIOLENCE INCIDENT,Bus Park,-1.035142,30.419909,2010-01-01 00:00:00,0,106,False,False,
8021220,DOMESTIC VIOLENCE,GBV REPORTED,Bus Park,-2.276268,29.149201,2010-01-01 00:00:00,0,102,False,True,SUSP-00047
8054716,DOMESTIC VIOLENCE,VEHICLE STOLEN FROM ROAD,Village Road,-1.807405,29.25381,2010-01-01 00:00:00,1,103,True,True,SUSP-00048
8071310,MURDER,THEFT FROM HOUSE,Public Market,-2.487972,29.400465,2010-01-01 00:00:00,1,116,True,True,SUSP-00049
8075156,THEFT,BODILY HARM IN FAMILY,Village Road,-2.315834,30.156931,2010-01-01 00:00:00,0,109,False,True,SUSP-00050
8079563,PROPERTY DAMAGE,VEHICLE STOLEN FROM ROAD,Residential House,-2.282432,29.731528,2010-01-01 00:00:00,0,117,True,False,
10128082,GENDER BASED VIOLENCE,GBV REPORTED,Residential House,-1.104033,30.04462,2010-01-01 00:00:00,0,124,True,True,SUSP-00051
8101439,ASSAULT,DOMESTIC VIOLENCE INCIDENT,Farm Area,-1.298622,29.470891,2010-01-01 00:00:00,0,121,False,False,
7961120,CHILD ABUSE,CHILD NEGLECT CASE,Farm Area,-1.906905,30.477961,2010-01-01 00:00:00,0,129,False,False,
7968942,FRAUD,ASSAULT WITH WEAPON,Public Market,-1.752196,29.477514,2010-01-01 00:00:00,0,129,False,True,SUSP-00052
7969374,ASSAULT,UNLAWFUL ENTRY,Bar/Restaurant,-1.989322,30.041198,2010-01-01 00:00:00,0,127,True,True,SUSP-00053
7986558,THEFT,DOMESTIC VIOLENCE INCIDENT,Bar/Restaurant,-2.200688,29.677065,2010-01-01 00:00:00,0,113,True,False,
7989288,PROPERTY DAMAGE,VEHICLE STOLEN FROM ROAD,School,-2.247855,30.258193,2010-01-01 00:00:00,0,109,False,False,
8146818,DOMESTIC VIOLENCE,FRAUD IN COOPERATIVE,Bus Park,-1.078583,29.336945,2010-01-01 00:00:00,0,108,False,False,
8180072,GENDER BASED VIOLENCE,GBV REPORTED,Farm Area,-2.492394,30.183141,2010-01-01 00:00:00,1,127,True,False,
8184093,ASSAULT,CHILD NEGLECT CASE,School,-1.548741,30.176109,2010-01-01 00:00:00,1,129,True,True,SUSP-00054
8231781,PROPERTY DAMAGE,FRAUD IN COOPERATIVE,School,-2.377103,30.099796,2010-01-01 00:00:00,0,107,False,True,SUSP-00055
8367174,BURGLARY,ASSAULT WITH WEAPON,Bus Park,-1.124675,30.061321,2010-01-01 00:00:00,0,111,False,True,SUSP-00056
8380363,GENDER BASED VIOLENCE,ASSAULT WITH WEAPON,Village Road,-1.769104,30.12112,2010-01-01 00:00:00,1,111,True,False,
8382585,MURDER,BODILY HARM IN FAMILY,Bar/Restaurant,-2.272418,29.435353,2010-01-01 00:00:00,0,111,False,True,SUSP-00057
8574072,MOTORCYCLE THEFT,BODILY HARM IN FAMILY,Village Road,-2.446177,30.324289,2010-01-01 00:00:00,1,126,False,True,SUSP-00058
8574572,CHILD ABUSE,DOMESTIC VIOLENCE INCIDENT,Farm Area,-2.284359,30.263773,2010-01-01 00:00:00,1,102,False,True,SUSP-00059
8603535,CHILD ABUSE,ASSAULT WITH WEAPON,School,-1.070816,30.188027,2010-01-01 00:00:00,0,109,False,True,SUSP-00060
8607960,DOMESTIC VIOLENCE,FRAUD IN COOPERATIVE,Residential House,-2.000498,30.392414,2010-01-01 00:00:00,1,127,False,True,SUSP-00061
8478158,DOMESTIC VIOLENCE,PROPERTY DAMAGED IN MARKET,Health Center,-1.22031,29.338644,2010-01-01 00:00:00,0,102,False,False,
8538388,FRAUD,THEFT FROM HOUSE,Farm Area,-1.487605,29.81482,2010-01-01 00:00:00,0,122,False,True,SUSP-00062
8640179,FRAUD,GBV REPORTED,Residential House,-1.888739,30.416714,2010-01-01 00:00:00,0,127,False,False,
8645142,MOTORCYCLE THEFT,FRAUD IN COOPERATIVE,Village Road,-2.086809,29.152305,2010-01-01 00:00:00,0,119,True,True,SUSP-00063
8715884,PROPERTY DAMAGE,VEHICLE STOLEN FROM ROAD,Bar/Restaurant,-1.870416,29.325223,2010-01-01 00:00:00,0,125,False,True,SUSP-00064
8847409,MOTORCYCLE THEFT,THEFT FROM HOUSE,Residential House,-1.532249,29.756721,2010-01-01 00:00:00,0,124,False,False,
8893295,MOTORCYCLE THEFT,PROPERTY DAMAGED IN MARKET,Bus Park,-1.366567,30.130761,2010-01-01 00:00:00,0,114,True,False,
8807218,GENDER BASED VIOLENCE,DOMESTIC VIOLENCE INCIDENT,Bar/Restaurant,-1.661155,30.170204,2010-01-01 00:00:00,0,107,False,True,SUSP-00065
9009239,DOMESTIC VIOLENCE,VEHICLE STOLEN FROM ROAD,Residential House,-1.411392,29.877074,2010-01-01 00:00:00,0,111,False,False,
8937812,DOMESTIC VIOLENCE,THEFT FROM HOUSE,School,-2.33483,29.547614,2010-01-01 00:00:00,0,106,True,True,SUSP-00066
8960653,ASSAULT,CHILD NEGLECT CASE,Main Road,-2.406523,30.479285,2010-01-01 00:00:00,0,118,True,True,SUSP-00067
9129374,ASSAULT,VEHICLE STOLEN FROM ROAD,Village Road,-2.212677,29.812486,2010-01-01 00:00:00,0,108,False,True,SUSP-00068
9171785,BURGLARY,DOMESTIC VIOLENCE INCIDENT,Farm Area,-2.229205,29.10582,2010-01-01 00:00:00,0,111,True,True,SUSP-00069
9177412,FRAUD,UNLAWFUL ENTRY,Farm Area,-1.043352,29.268026,2010-01-01 00:00:00,0,122,False,True,SUSP-00070
9188122,MURDER,PROPERTY DAMAGED IN MARKET,Village Road,-2.048764,29.847358,2010-01-01 00:00:00,0,126,False,True,SUSP-00071
9246025,CHILD ABUSE,CHILD NEGLECT CASE,Health Center,-2.455207,30.433349,2010-01-01 00:00:00,0,101,False,True,SUSP-00072
9096133,CHILD ABUSE,GBV REPORTED,Health Center,-2.492058,29.379333,2010-01-01 00:00:00,0,126,False,True,SUSP-00073
9256263,PROPERTY DAMAGE,BODILY HARM IN FAMILY,Bus Park,-2.383155,29.611343,2010-01-01 00:00:00,0,119,False,True,SUSP-00074
9263031,THEFT,ASSAULT WITH WEAPON,Farm Area,-1.651615,29.815842,2010-01-01 00:00:00,0,109,False,False,
9286620,BURGLARY,CHILD NEGLECT CASE,Health Center,-2.495492,30.14301,2010-01-01 00:00:00,0,106,False,True,SUSP-00075
9362720,GENDER BASED VIOLENCE,PROPERTY DAMAGED IN MARKET,Main Road,-1.801004,30.469982,2010-01-01 00:00:00,0,110,True,True,SUSP-00076
9579706,ASSAULT,CHILD NEGLECT CASE,Bar/Restaurant,-2.065652,29.772458,2010-01-01 00:00:00,0,111,False,False,
9590466,BURGLARY,GBV REPORTED,Health Center,-1.951648,30.285706,2010-01-01 00:00:00,0,102,False,True,SUSP-00077
9469489,GENDER BASED VIOLENCE,DOMESTIC VIOLENCE INCIDENT,Main Road,-1.64066,30.110297,2010-01-01 00:00:00,0,127,True,True,SUSP-00078
9661725,GENDER BASED VIOLENCE,VEHICLE STOLEN FROM ROAD,Village Road,-1.790244,29.948836,2010-01-01 00:00:00,0,110,False,True,SUSP-00079
9700543,ASSAULT,GBV REPORTED,Farm Area,-1.947142,29.139016,2010-01-01 00:00:00,0,103,False,True,SUSP-00080
9765519,FRAUD,VEHICLE STOLEN FROM ROAD,Bar/Restaurant,-1.874287,30.368956,2010-01-01 00:00:00,1,120,True,False,
9638633,MURDER,UNLAWFUL ENTRY,Public Market,-1.892128,29.327604,2010-01-01 00:00:00,0,102,False,False,
9655551,FRAUD,VEHICLE STOLEN FROM ROAD,School,-2.22261,29.397939,2010-01-01 00:00:00,1,107,True,True,SUSP-00081
9661422,MURDER,PROPERTY DAMAGED IN MARKET,Main Road,-1.646106,29.646003,2010-01-01 00:00:00,0,120,False,False,
9822992,BURGLARY,ASSAULT WITH WEAPON,School,-1.561967,30.177226,2010-01-01 00:00:00,0,105,True,False,
9937000,DOMESTIC VIOLENCE,CHILD NEGLECT CASE,Farm Area,-1.867988,29.17953,2010-01-01 00:00:00,0,112,False,True,SUSP-00082
9784768,DOMESTIC VIOLENCE,DOMESTIC VIOLENCE INCIDENT,Health Center,-1.806458,29.996963,2010-01-01 00:00:00,0,126,False,False,
9791399,GENDER BASED VIOLENCE,ASSAULT WITH WEAPON,Farm Area,-1.004403,29.61745,2010-01-01 00:00:00,1,126,False,True,SUSP-00083
9811851,MOTORCYCLE THEFT,DOMESTIC VIOLENCE INCIDENT,Bus Park,-1.667469,29.760789,2010-01-01 00:00:00,1,104,True,False,
9966011,THEFT,UNLAWFUL ENTRY,Main Road,-1.283874,30.150255,2010-01-01 00:00:00,0,118,False,False,
9966865,ASSAULT,ASSAULT WITH WEAPON,Public Market,-1.064881,30.180343,2010-01-01 00:00:00,0,103,False,True,SUSP-00084
7945106,GENDER BASED VIOLENCE,DOMESTIC VIOLENCE INCIDENT,Health Center,-1.734721,29.005272,2010-01-01 00:00:00,0,117,False,True,SUSP-00085
9997943,MURDER,ASSAULT WITH WEAPON,Residential House,-1.954751,29.65319,2010-01-01 00:00:00,0,104,False,True,SUSP-00086
10262078,ASSAULT,VEHICLE STOLEN FROM ROAD,School,-1.624427,29.162963,2010-01-01 00:01:00,0,117,False,True,SUSP-00087
10297555,PROPERTY DAMAGE,ASSAULT WITH WEAPON,School,-2.422461,29.557579,2010-01-01 00:01:00,0,124,False,False,
10152843,ASSAULT,UNLAWFUL ENTRY,District Office,-1.720251,30.015951,2010-01-01 00:01:00,0,116,False,False,
10213555,THEFT,DOMESTIC VIOLENCE INCIDENT,Public Market,-1.259868,30.152937,2010-01-01 00:01:00,0,107,False,True,SUSP-00088
11620828,MURDER,GBV REPORTED,Bus Park,-1.625113,29.932755,2010-01-01 00:01:00,0,120,True,True,SUSP-00089
11020229,MURDER,THEFT FROM HOUSE,Main Road,-1.534085,29.787817,2010-01-01 00:01:00,1,129,True,True,SUSP-00090
10029259,MURDER,FRAUD IN COOPERATIVE,Public Market,-1.880095,29.514777,2010-01-01 00:01:00,0,113,False,True,SUSP-00091
7296838,DOMESTIC VIOLENCE,PROPERTY DAMAGED IN MARKET,School,-1.243108,29.806793,2010-01-01 00:01:00,0,104,False,True,SUSP-00092
7296990,GENDER BASED VIOLENCE,DOMESTIC VIOLENCE INCIDENT,Residential House,-2.334527,29.184491,2010-01-01 00:01:00,1,110,False,True,SUSP-00093
7297218,DOMESTIC VIOLENCE,VEHICLE STOLEN FROM ROAD,Bus Park,-1.98739,30.179065,2010-01-01 00:01:00,0,114,False,False,
7297366,CHILD ABUSE,BODILY HARM IN FAMILY,Farm Area,-1.012628,29.846083,2010-01-01 00:01:00,1,119,False,True,SUSP-00094
7297505,THEFT,GBV REPORTED,School,-1.652335,30.181416,2010-01-01 00:01:00,0,104,True,True,SUSP-00095
7297693,FRAUD,UNLAWFUL ENTRY,Bar/Restaurant,-1.669904,29.803891,2010-01-01 00:01:00,0,123,False,False,
7298460,THEFT,DOMESTIC VIOLENCE INCIDENT,Village Road,-1.268472,30.040898,2010-01-01 00:01:00,0,124,False,True,SUSP-00096
7298927,ASSAULT,THEFT FROM HOUSE,District Office,-1.791653,30.26752,2010-01-01 00:01:00,0,122,False,False,
7354329,MURDER,THEFT FROM HOUSE,Main Road,-1.691346,29.635952,2010-01-01 00:01:00,0,126,False,False,
7357273,BURGLARY,FRAUD IN COOPERATIVE,Public Market,-1.210052,29.765855,2010-01-01 00:01:00,0,117,False,True,SUSP-00097
7359063,PROPERTY DAMAGE,BODILY HARM IN FAMILY,Bar/Restaurant,-1.240265,29.483827,2010-01-01 00:01:00,0,107,False,True,SUSP-00098
7360668,BURGLARY,THEFT FROM HOUSE,Farm Area,-1.40545,29.136632,2010-01-01 00:01:00,0,105,False,True,SUSP-00099
7366197,BURGLARY,PROPERTY DAMAGED IN MARKET,Bar/Restaurant,-1.044272,29.805431,2010-01-01 00:01:00,0,123,False,True,SUSP-00100
7372020,ASSAULT,GBV REPORTED,Village Road,-1.05977,29.11982,2010-01-01 00:01:00,0,123,False,True,SUSP-00101
7391268,FRAUD,THEFT FROM HOUSE,Farm Area,-2.068448,29.405451,2010-01-01 00:01:00,0,109,False,True,SUSP-00102
7397472,FRAUD,UNLAWFUL ENTRY,Main Road,-2.219857,29.475406,2010-01-01 00:01:00,0,123,True,True,SUSP-00103
7421384,BURGLARY,CHILD NEGLECT CASE,District Office,-1.687195,29.462295,2010-01-01 00:01:00,0,124,False,True,SUSP-00104
7446983,GENDER BASED VIOLENCE,FRAUD IN COOPERATIVE,Health Center,-2.163188,29.861494,2010-01-01 00:01:00,0,101,False,True,SUSP-00105
7452585,DOMESTIC VIOLENCE,THEFT FROM HOUSE,Public Market,-1.667639,29.775369,2010-01-01 00:01:00,0,126,True,False,
7456797,GENDER BASED VIOLENCE,UNLAWFUL ENTRY,Residential House,-2.186829,29.451956,2010-01-01 00:01:00,0,120,False,True,SUSP-00106
7307784,MURDER,ASSAULT WITH WEAPON,Bus Park,-1.895643,29.643797,2010-01-01 00:01:00,0,101,False,True,SUSP-00107
7309081,DOMESTIC VIOLENCE,GBV REPORTED,Farm Area,-2.02445,30.328596,2010-01-01 00:01:00,0,125,True,True,SUSP-00108
7310818,PROPERTY DAMAGE,BODILY HARM IN FAMILY,Residential House,-1.480721,30.133298,2010-01-01 00:01:00,0,126,False,False,
7314083,DOMESTIC VIOLENCE,ASSAULT WITH WEAPON,Bar/Restaurant,-2.217301,29.326378,2010-01-01 00:01:00,0,117,False,True,SUSP-00109
7319121,MURDER,THEFT FROM HOUSE,Main Road,-1.799976,29.736714,2010-01-01 00:01:00,0,117,False,True,SUSP-00110
7476522,BURGLARY,CHILD NEGLECT CASE,District Office,-1.559252,29.357619,2010-01-01 00:01:00,0,103,False,False,
7482948,FRAUD,ASSAULT WITH WEAPON,Farm Area,-1.913832,30.162134,2010-01-01 00:01:00,0,105,False,True,SUSP-00111
